,cml_id,sublink_id,site_0_lat,site_0_lon,site_1_lat,site_1_lon,frequency,length,polarization
0,1,sublink_1,40.696093,-73.939749,40.686198,-73.9175,68040,2178.1,v
1,1,sublink_2,40.686139,-73.917512,40.696096,-73.93978,68040,2183.0,v
2,1,sublink_3,40.685983,-73.917588,40.696,-73.9398,5765,2178.9,v
3,2,sublink_1,40.657782,-74.004848,40.682995,-73.993789,5545,2954.6,v
4,2,sublink_2,40.657955,-74.004929,40.683037,-73.993851,24100,2938.6,v
5,2,sublink_3,40.683037,-73.993851,40.657944,-74.004936,24200,2939.9,v
6,3,sublink_1,40.725693,-73.954143,40.715587,-73.9844,68040,2786.5,v
7,3,sublink_2,40.715622,-73.984394,40.725684,-73.95413,5760,2790.5,v
8,3,sublink_3,40.715587,-73.9844,40.725693,-73.954143,68040,2791.9,v
9,4,sublink_1,40.657654,-74.00518,40.646,-74.01368,24200,1480.4,v
10,4,sublink_2,40.646,-74.01368,40.657654,-74.00518,24200,1480.4,v
11,4,sublink_3,40.645933,-74.013631,40.6577,-74.0051,5300,1492.7,v
12,5,sublink_1,40.727553,-73.946045,40.729552,-73.945949,60480,222.1,v
13,5,sublink_2,40.729552,-73.945949,40.727553,-73.946045,60480,222.1,v
14,6,sublink_1,40.73676,-73.95441,40.733902,-73.950604,58320,451.8,v
15,6,sublink_2,40.733902,-73.950604,40.73676,-73.95441,58320,451.5,v
16,7,sublink_1,40.727553,-73.946045,40.725616,-73.947094,58320,232.6,v
17,7,sublink_2,40.725616,-73.947094,40.727553,-73.946045,58320,232.6,v
18,8,sublink_1,40.715587,-73.9844,40.727403,-73.946167,68040,3486.6,v
19,8,sublink_2,40.715622,-73.984394,40.727451,-73.946132,5760,3489.4,v
20,9,sublink_1,40.686007,-73.917602,40.680215,-73.954799,5710,3202.0,v
21,9,sublink_2,40.680215,-73.954799,40.685983,-73.917647,5700,3197.7,v
22,10,sublink_1,40.660014,-73.913606,40.685823,-73.917272,5505,2882.7,v
23,10,sublink_2,40.685823,-73.917272,40.660014,-73.913606,5495,2882.7,v
24,11,sublink_1,40.830386,-73.941022,40.815595,-73.950005,58320,1808.9,v
25,11,sublink_2,40.815595,-73.950005,40.830386,-73.941022,58320,1808.9,v
26,12,sublink_1,40.658028,-74.004772,40.667641,-73.982415,65880,2171.1,v
27,12,sublink_2,40.667641,-73.982415,40.658028,-74.004772,65880,2171.1,v
28,13,sublink_1,40.711109,-74.001289,40.716091,-73.986061,24100,1400.6,v
29,13,sublink_2,40.71608,-73.986053,40.711109,-74.001251,24200,1397.8,v
30,14,sublink_1,40.713282,-73.99037,40.712811,-73.994744,5795,373.3,v
31,14,sublink_2,40.712811,-73.994744,40.713282,-73.99037,5795,373.3,v
32,15,sublink_1,40.719898,-73.988024,40.725618,-73.954074,5560,2937.8,v
33,15,sublink_2,40.725618,-73.954074,40.719898,-73.988024,5560,2937.8,v
34,16,sublink_1,40.725903,-73.983635,40.720668,-73.988049,62640,690.7,v
35,16,sublink_2,40.720668,-73.988049,40.725903,-73.983635,62640,690.7,v
36,17,sublink_1,40.672599,-73.964204,40.680123,-73.96321,68040,839.7,v
37,17,sublink_2,40.680123,-73.96321,40.672599,-73.964204,68040,839.7,v
