,Station ID,Latitude,Longitude,Elevation,Description
0,KNYNEWYO1805,40.638,-74.035,17.0688,WU PWS
1,KNYNEWYO1288,40.828,-73.918,10.0584,WU PWS
2,KNYNEWYO1238,40.807999,-73.948997,14.0208,WU PWS
3,KNYNEWYO1622,40.802,-73.964,31.0896,WU PWS
4,KNYNEWYO1796,40.779,-73.979,35.9664,WU PWS
6,KNYNEWYO1747,40.753,-74.009907,0.0,WU PWS
7,KNYNEWYO1626,40.742138,-74.009993,12.192,WU PWS
8,KNYNEWYO1533,40.738,-74.003,36.2712,WU PWS
9,KNYNEWYO1867,40.675,-74.011,0.6096,WU PWS
10,KNYNEWYO1896,40.669,-73.981,9.7536,WU PWS
11,KNYNEWYO1401,40.66,-73.955,17.9832,WU PWS
12,KNYNEWYO1606,40.688,-73.944,18.8976,WU PWS
14,KNYNEWYO1127,40.647999,-73.887001,4.8768,WU PWS
16,KNYNEWYO343,40.762779,-73.991776,9.144,WU PWS
17,KNYNEWYO1591,40.762,-73.906,15.8496,WU PWS
18,KNYNEWYO589,40.645618,-74.00415,47.8536,WU PWS
19,KNYNEWYO638,40.724998,-73.981148,7.0104,WU PWS
20,KNYNEWYO1120,40.667,-73.983002,34.1376,WU PWS
21,KNYNEWYO1298,40.724,-73.949,3.048,WU PWS
22,KNYNEWYO1313,40.720231,-73.900786,10.3632,WU PWS
23,KNYNEWYO1326,40.680166,-73.925811,20.1168,WU PWS
24,KNYNEWYO1348,40.732,-73.956,3.9624,WU PWS
25,KNYNEWYO1388,40.636,-73.961,17.9832,WU PWS
26,KNYNEWYO1472,40.82,-73.94,66.0,WU PWS
27,KNYNEWYO1659,40.678,-73.963,29.8704,WU PWS
28,KNYNEWYO1681,40.664289,-73.961748,27.1272,WU PWS
29,KNYNEWYO505,40.697334,-73.892746,29.8704,WU PWS
30,KNYNEWYO1024,40.77153,-73.957161,24.0792,WU PWS
31,KNYNEWYO1053,40.711601,-73.844704,21.9456,WU PWS
32,KNYNEWYO1651,40.754086,-73.934034,7.0104,WU PWS
33,KNYNEWYO1824,40.764291,-73.930717,7.9248,WU PWS
34,KNYNEWYO1900,40.746,-73.952,19.812,WU PWS
35,KNYNEWYO1918,40.685,-73.952,10.9728,WU PWS
36,KNYNEWYO1921,40.714,-73.905,10.9728,WU PWS
37,KNYNEWYO1931,40.791,-73.97,25.908,WU PWS
38,KNYNEWYO1942,40.82,-73.957,74.676,WU PWS
39,KNYNEWYO1943,40.698729,-73.99334,25.908,WU PWS
